lex	word	POS	time	gender	case	number	verbal	adj_form	comp	person	aspect	voice	animacy	transitivity	имя	отч	фам	вводн	гео	сокр	обсц	разг	редк	устар
свой	своей	APRO		жен	пр	ед																		
комната	комнате	S		жен	пр	ед							неод											
и	и	CONJ																						
рыдать	рыдала	V	прош	жен		ед	изъяв				несов			нп										
как	как	CONJ																						
ребенок	ребенок	S		муж	им	ед							од											
сморкаться	сморкаясь	V	непрош				деепр				несов			нп										
и	и	CONJ																						
всхлипывать	всхлипывая	V	непрош				деепр				несов			нп										
соня	соня	S		жен	им	ед							од		имя									
стоять	стояла	V	прош	жен		ед	изъяв				несов			нп										
над	над	PR																						
она	ней	SPRO		жен	пр	ед				3-л														
и	и	CONJ																						
целовать	целовала	V	прош	жен		ед	изъяв				несов			пе										
она	ее	SPRO		жен	вин	ед				3-л														
в	в	PR																						
волос	волоса	S		муж	род	ед							неод											
наташа	наташа	S		жен	им	ед							од		имя									
о	о	PR																						
чем	чем	CONJ																						
ты	ты	SPRO			им	ед				2-л														
говорить	говорила	V	прош	жен		ед	изъяв				несов			пе										
она	она	SPRO		жен	им	ед				3-л														
что	что	SPRO		сред	вин	ед							неод											
ты	тебе	SPRO			пр	ед				2-л														
за	за	PR																						
дело	дело	S		сред	вин	ед							неод											
до	до	PR																						
они	них	SPRO			пр	мн																		
все	все	SPRO			вин	мн																		
пройти	пройдет	V	непрош			ед	изъяв			3-л	сов			пе										
наташа	наташа	S		жен	им	ед							од		имя									
нет	нет	PART																						
ежели	ежели	CONJ																						
бы	бы	PART																						
ты	ты	SPRO			им	ед				2-л														
знать	знала	V	прош	жен		ед	изъяв				несов			пе										
как	как	CONJ																						
это	это	PART																						
обидный	обидно	A		сред		ед		кр																
точно	точно	CONJ																						
я	я	SPRO			им	ед				1-л														
не	не	PART																						
говорить	говори	V				ед	пов			2-л	несов			пе										
наташа	наташа	S		жен	им	ед							од		имя									
ведь	ведь	PART																						
ты	ты	SPRO			им	ед				2-л														
не	не	PART																						
виноватый	виновата	A		жен		ед		кр																
так	так	ADVPRO																						
что	что	CONJ																						
ты	тебе	SPRO			пр	ед				2-л														
за	за	PR																						
дело	дело	S		сред	вин	ед							неод											
поцеловать	поцелуй	V				ед	пов			2-л	сов			пе										
я	меня	SPRO			вин	ед				1-л														
сказать	сказала	V	прош	жен		ед	изъяв				сов			пе										
соня	соня	S		жен	им	ед							од		имя									
наташа	наташа	S		жен	им	ед							од		имя									
подымать	подняла	V	прош	жен		ед	изъяв				сов													
голова	голову	S		жен	вин	ед							неод											
и	и	CONJ																						
в	в	PR																						
губа	губы	S		жен	вин	мн							неод											
поцеловать	поцеловав	V	прош				деепр				сов			пе										
свой	свою	APRO		жен	вин	ед																		
подруга	подругу	S		жен	вин	ед							од											
прижимать	прижала	V	прош	жен		ед	изъяв				сов			пе										
к	к	PR																						
она	ней	SPRO		жен	пр	ед				3-л														
свой	свое	APRO		сред	вин	ед																		
мокрый	мокрое	A		сред	вин	ед		полн																
лицо	лицо	S		сред	вин	ед							неод											
я	я	SPRO			им	ед				1-л														
не	не	PART																						
мочь	могу	V	непрош			ед	изъяв			1-л	несов			нп										
сказать	сказать	V					инф				сов			пе										
я	я	SPRO			им	ед				1-л														
не	не	PART																						
знать	знаю	V	непрош			ед	изъяв			1-л	несов			пе										
никто	никто	SPRO		муж	им	ед							од											
не	не	PART																						
виноватый	виноват	A		муж		ед		кр																
говорить	говорила	V	прош	жен		ед	изъяв				несов			пе										
наташа	наташа	S		жен	им	ед							од		имя									
я	я	SPRO			им	ед				1-л														
виноватый	виновата	A		жен		ед		кр																
но	но	CONJ																						
все	все	SPRO			вин	мн																		
это	это	SPRO		сред	вин	ед							неод											
больно	больно	ADV																						
ужасно	ужасно	ADV																						
ах	ах	INTJ																						
что	что	CONJ																						
он	он	SPRO		муж	им	ед				3-л														
не	не	PART																						
ехать	едет	V	непрош			ед	изъяв			3-л	несов			нп										
она	она	SPRO		жен	им	ед				3-л														
с	с	PR																						
красный	красными	A			твор	мн		полн																
глаз	глазами	S		муж	твор	мн							неод											
выходить	вышла	V	прош	жен		ед	изъяв				сов			нп										
к	к	PR																						
обед	обеду	S		муж	дат	ед							неод											
марья	марья	S		жен	им	ед							од		имя									
дмитриевна	дмитриевна	S		жен	им	ед							од			отч								
знать	знавшая	V	прош	жен	им	ед	прич	полн			несов	действ		пе										
о	о	PR																						
то	том	SPRO		сред	пр	ед							неод											
как	как	CONJ																						
князь	князь	S		муж	им	ед							од											
принимать	принял	V	прош	муж		ед	изъяв				сов													
ростов	ростовых	S		муж	пр	мн							од				фам							
сделать	сделала	V	прош	жен		ед	изъяв				сов			пе										
вид	вид	S		муж	вин	ед							неод											
что	что	CONJ																						
она	она	SPRO		жен	им	ед				3-л														
не	не	PART																						
замечать	замечает	V	непрош			ед	изъяв			3-л	несов			пе										
расстроенный	расстроенного	A		муж	вин	ед		полн					од											
лицо	лица	S		сред	вин	мн							неод											
наташа	наташи	S		жен	род	ед							од		имя									
и	и	CONJ																						
твердо	твердо	ADV																						
и	и	CONJ																						
громко	громко	ADV																						
шутить	шутила	V	прош	жен		ед	изъяв				несов			нп										
за	за	PR																						
стол	столом	S		муж	твор	ед							неод											
с	с	PR																						
граф	графом	S		муж	твор	ед							од											
и	и	CONJ																						
другой	другими	APRO			твор	мн																		
гость	гостями	S		муж	твор	мн							од											
в	в	PR																						
этот	этот	APRO		муж	вин	ед							неод											
вечер	вечер	S		муж	вин	ед							неод											
ростов	ростовы	S		муж	им	мн							од				фам							
поехать	поехали	V	прош			мн	изъяв				сов			нп										
в	в	PR																						
опера	оперу	S		жен	вин	ед							неод											
на	на	PR																						
который	которую	APRO		жен	вин	ед																		
марья	марья	S		жен	им	ед							од		имя									
дмитриевна	дмитриевна	S		жен	им	ед							од			отч								
доставать	достала	V	прош	жен		ед	изъяв				сов			пе										
билет	билет	S		муж	вин	ед							неод											
наташа	наташе	S		жен	пр	ед							од		имя									
не	не	PART																						
хотеться	хотелось	V	прош	сред		ед	изъяв				несов			нп										
ехать	ехать	V					инф				несов			нп										
но	но	CONJ																						
нельзя	нельзя	ADV																						
быть	было	V	прош	сред		ед	изъяв				несов			нп										
отказываться	отказаться	V					инф				сов			нп										
от	от	PR																						
ласковость	ласковости	S		жен	пр	ед							неод											
марья	марьи	S		жен	род	ед							од		имя									
дмитриевна	дмитриевны	S		жен	род	ед							од			отч								
исключительно	исключительно	ADV																						
для	для	PR																						
она	нее	SPRO		жен	вин	ед				3-л														
предназначать	предназначенной	V	прош	жен	пр	ед	прич	полн			сов	страд		пе										
когда	когда	CONJ																						
она	она	SPRO		жен	им	ед				3-л														
одевать	одетая	V	прош	жен	им	ед	прич	полн			сов	страд		пе										
выходить	вышла	V	прош	жен		ед	изъяв				сов			нп										
в	в	PR																						
зала	залу	S		жен	вин	ед							неод											
дожидаться	дожидаясь	V	непрош				деепр				несов			нп										
отец	отца	S		муж	вин	ед							од											
и	и	CONJ																						
поглядеться	поглядевшись	V	прош				деепр				сов			нп										
в	в	PR																						
большой	большое	A		сред	вин	ед		полн																
зеркало	зеркало	S		сред	вин	ед							неод											
увидать	увидала	V	прош	жен		ед	изъяв				сов			пе										
что	что	CONJ																						
она	она	SPRO		жен	им	ед				3-л														
хороший	хороша	A		жен		ед		кр																
очень	очень	ADV																						
хороший	хороша	A		жен		ед		кр																
она	ей	SPRO		жен	дат	ед				3-л														
еще	еще	ADV																						
более	более	ADV																						
становиться	стало	V	прош	сред		ед	изъяв				сов			нп										
грустно	грустно	ADV																						
но	но	CONJ																						
грустно	грустно	ADV																						
сладостно	сладостно	ADV																						
и	и	CONJ																						
любовно	любовно	ADV																						
боже	боже	INTJ																						
мой	мой	APRO		муж	вин	ед							неод											
ежели	ежели	CONJ																						
бы	бы	PART																						
он	он	SPRO		муж	им	ед				3-л														
быть	был	V	прош	муж		ед	изъяв				несов			нп										
тут	тут	ADVPRO																						
тогда	тогда	ADVPRO																						
бы	бы	PART																						
я	я	SPRO			им	ед				1-л														
не	не	PART																						
так	так	ADVPRO																						
как	как	ADVPRO																						
прежде	прежде	ADV																						
с	с	PR																						
глупый	глупой	A		жен	пр	ед		полн																
робость	робостью	S		жен	твор	ед							неод											
перед	перед	PR																						
а	а	CONJ																						
просто	просто	PART																						
обнимать	обняла	V	прош	жен		ед	изъяв				сов			пе										
бы	бы	PART																						
он	его	SPRO		муж	вин	ед				3-л														
прижиматься	прижалась	V	прош	жен		ед	изъяв				сов			нп										
бы	бы	PART																						
к	к	PR																						
он	нему	SPRO		муж	дат	ед				3-л														
заставлять	заставила	V	прош	жен		ед	изъяв				сов			пе										
бы	бы	PART																						
он	его	SPRO		муж	вин	ед				3-л														
смотреть	смотреть	V					инф				несов			пе										
на	на	PR																						
я	меня	SPRO			вин	ед				1-л														
тот	теми	APRO			твор	мн																		
искательный	искательными	A			твор	мн		полн																
любопытный	любопытными	A			твор	мн		полн																
глаз	глазами	S		муж	твор	мн							неод											
который	которыми	APRO			твор	мн																		
он	он	SPRO		муж	им	ед				3-л														
так	так	ADVPRO																						
часто	часто	ADV																						
смотреть	смотрел	V	прош	муж		ед	изъяв				несов			пе										
на	на	PR																						
я	меня	SPRO			вин	ед				1-л														
и	и	CONJ																						
потом	потом	ADVPRO																						
заставлять	заставила	V	прош	жен		ед	изъяв				сов			пе										
бы	бы	PART																						
он	его	SPRO		муж	вин	ед				3-л														
смеяться	смеяться	V					инф				несов			нп										
как	как	CONJ																						
он	он	SPRO		муж	им	ед				3-л														
смеяться	смеялся	V	прош	муж		ед	изъяв				несов			нп										
тогда	тогда	ADVPRO																						
и	и	CONJ																						
глаз	глаза	S		муж	вин	мн							неод											
его	его	APRO			пр	мн																		
как	как	CONJ																						
я	я	SPRO			им	ед				1-л														
видеть	вижу	V	непрош			ед	изъяв			1-л	несов			пе										
этот	эти	APRO			им	мн																		
глаз	глаза	S		муж	вин	мн							неод											
думать	думала	V	прош	жен		ед	изъяв				несов			нп										
наташа	наташа	S		жен	им	ед							од		имя									
и	и	CONJ																						
что	что	CONJ																						
я	мне	SPRO			пр	ед				1-л														
за	за	PR																						
дело	дело	S		сред	вин	ед							неод											
до	до	PR																						
его	его	APRO			пр	мн																		
отец	отца	S		муж	вин	ед							од											
и	и	CONJ																						
сестра	сестры	S		жен	род	ед							од											
я	я	SPRO			им	ед				1-л														
любить	люблю	V	непрош			ед	изъяв			1-л	несов			пе										
он	его	SPRO		муж	вин	ед				3-л														
один	одного	APRO		муж	вин	ед							од											
его	его	APRO			пр	мн																		
он	его	SPRO		муж	вин	ед				3-л														
с	с	PR																						
этот	этим	APRO			дат	мн																		
лицо	лицом	S		сред	твор	ед							неод											
и	и	CONJ																						
глаз	глазами	S		муж	твор	мн							неод											
с	с	PR																						
его	его	APRO			пр	мн																		
улыбка	улыбкой	S		жен	твор	ед							неод											
мужской	мужской	A		жен	пр	ед		полн																
и	и	CONJ																						
вместе	вместе	ADV																						
детский	детской	A		жен	пр	ед		полн																
нет	нет	PART																						
хорошо	лучше	ADV							срав									вводн						
не	не	PART																						
думать	думать	V					инф				несов			нп										
о	о	PR																						
он	нем	SPRO		муж	пр	ед				3-л														
не	не	PART																						
думать	думать	V					инф				несов			нп										
забывать	забыть	V					инф				сов													
совсем	совсем	ADV																						
забывать	забыть	V					инф				сов													
на	на	PR																						
этот	это	APRO		сред	вин	ед																		
время	время	S		сред	вин	ед							неод											
я	я	SPRO			им	ед				1-л														
не	не	PART																						
вынести	вынесу	V	непрош			ед	изъяв			1-л	сов													
этот	этого	APRO		муж	вин	ед							од											
ожидание	ожидания	S		сред	вин	мн							неод											
я	я	SPRO			им	ед				1-л														
сейчас	сейчас	ADV																						
зарыдать	зарыдаю	V	непрош			ед	изъяв			1-л	сов			нп										
и	и	CONJ																						
она	она	SPRO		жен	им	ед				3-л														
отходить	отошла	V	прош	жен		ед	изъяв				сов			нп										
от	от	PR																						
зеркало	зеркала	S		сред	вин	мн							неод											
делать	делая	V	непрош				деепр				несов			пе										
над	над	PR																						
себя	собой	SPRO			твор																			
усилие	усилия	S		сред	вин	мн							неод											
чтобы	чтобы	CONJ																						
не	не	PART																						
заплакать	заплакать	V					инф				сов			пе										
и	и	CONJ																						
как	как	ADVPRO																						
мочь	может	V	непрош			ед	изъяв			3-л	несов			нп										
соня	соня	S		жен	им	ед							од		имя									
так	так	ADVPRO																						
ровно	ровно	ADV																						
спокойно	спокойно	ADV																						
любить	любить	V					инф				несов			пе										
николенька	николеньку	S		муж	вин	ед							од		имя									
и	и	CONJ																						
ждать	ждать	V					инф				несов			пе										
так	так	ADVPRO																						
долго	долго	ADV																						
и	и	CONJ																						
терпеливо	терпеливо	ADV																						
подумать	подумала	V	прош	жен		ед	изъяв				сов			нп										
она	она	SPRO		жен	им	ед				3-л														
глядеть	глядя	V	непрош				деепр				несов			пе										
на	на	PR																						
входить	входившую	V	прош	жен	вин	ед	прич	полн			несов	действ		нп										
тоже	тоже	PART																						
одевать	одетую	V	прош	жен	вин	ед	прич	полн			сов	страд		пе										
с	с	PR																						
веер	веером	S		муж	твор	ед							неод											
в	в	PR																						
рука	руках	S		жен	пр	мн							неод											
соня	соню	S		жен	вин	ед							од		имя									
нет	нет	PART																						
она	она	SPRO		жен	им	ед				3-л														
совсем	совсем	ADV																						
другой	другая	APRO		жен	им	ед																		
я	я	SPRO			им	ед				1-л														
не	не	PART																						
мочь	могу	V	непрош			ед	изъяв			1-л	несов			нп										
наташа	наташа	S		жен	им	ед							од		имя									
чувствовать	чувствовала	V	прош	жен		ед	изъяв				несов			пе										
себя	себя	SPRO			вин																			
в	в	PR																						
этот	эту	APRO		жен	вин	ед																		
минута	минуту	S		жен	вин	ед							неод											
такой	такою	APRO		жен	твор	ед																		
размягчать	размягченной	V	прош	жен	пр	ед	прич	полн			сов	страд		пе										
и	и	CONJ																						
разнеживать	разнеженной	V	прош	жен	пр	ед	прич	полн			сов	страд		пе										
что	что	CONJ																						
она	ей	SPRO		жен	дат	ед				3-л														
мало	мало	ADV																						
быть	было	V	прош	сред		ед	изъяв				несов			нп										
любить	любить	V					инф				несов			пе										
и	и	CONJ																						
знать	знать	V					инф				несов			пе										
что	что	CONJ																						
она	она	SPRO		жен	им	ед				3-л														
любить	любима	V	непрош	жен		ед	прич	кр			несов	страд		пе										
она	ей	SPRO		жен	дат	ед				3-л														
нужно	нужно	ADV																						
теперь	теперь	ADV																						
сейчас	сейчас	ADV																						
нужно	нужно	ADV																						
быть	было	V	прош	сред		ед	изъяв				несов			нп										
обнимать	обнять	V					инф				сов			пе										
любимый	любимого	A		муж	вин	ед		полн					од											
человек	человека	S		муж	вин	ед							од											
и	и	CONJ																						
говорить	говорить	V					инф				несов			пе										
и	и	CONJ																						
слышать	слышать	V					инф				несов			пе										
от	от	PR																						
он	него	SPRO		муж	вин	ед				3-л														
слово	слова	S		сред	вин	мн							неод											
любовь	любви	S		жен	пр	ед							неод											
который	которыми	APRO			твор	мн																		
быть	было	V	прош	сред		ед	изъяв				несов			нп										
полно	полно	ADV																						
ее	ее	APRO			пр	мн																		
сердце	сердце	S		сред	пр	ед							неод											
пока	пока	CONJ																						
она	она	SPRO		жен	им	ед				3-л														
ехать	ехала	V	прош	жен		ед	изъяв				несов			нп										
в	в	PR																						
карета	карете	S		жен	пр	ед							неод											
сидеть	сидя	V	непрош				деепр				несов			нп										
рядом	рядом	ADV																						
с	с	PR																						
отец	отцом	S		муж	твор	ед							од											
и	и	CONJ																						
задумчиво	задумчиво	ADV																						
глядеть	глядела	V	прош	жен		ед	изъяв				несов			пе										
на	на	PR																						
мелькать	мелькавшие	V	прош		им	мн	прич	полн			несов	действ		нп										
в	в	PR																						
мерзлый	мерзлом	A		муж	пр	ед		полн																
окно	окне	S		сред	пр	ед							неод											
огонь	огни	S		муж	вин	мн							неод											
фонарь	фонарей	S		муж	род	мн							неод											
она	она	SPRO		жен	им	ед				3-л														
чувствовать	чувствовала	V	прош	жен		ед	изъяв				несов			пе										
себя	себя	SPRO			вин																			
еще	еще	ADV																						
влюбленный	влюбленнее	A							срав															
и	и	CONJ																						
грустный	грустнее	A							срав															
и	и	CONJ																						
забывать	забыла	V	прош	жен		ед	изъяв				сов													
с	с	PR																						
кто	кем	SPRO		муж	твор	ед							од											
и	и	CONJ																						
куда	куда	ADVPRO																						
она	она	SPRO		жен	им	ед				3-л														
ехать	едет	V	непрош			ед	изъяв			3-л	несов			нп										
попадать	попав	V	прош				деепр				сов			нп										
в	в	PR																						
вереница	вереницу	S		жен	вин	ед							неод											
карета	карет	S		жен	род	мн							неод											
медленно	медленно	ADV																						
визжать	визжа	V	непрош				деепр				несов			нп										
колесо	колесами	S		сред	твор	мн							неод											
по	по	PR																						
снег	снегу	S		муж	дат	ед							неод											
карета	карета	S		жен	им	ед							неод											
ростов	ростовых	S		муж	пр	мн							од				фам							
подъезжать	подъехала	V	прош	жен		ед	изъяв				сов			нп										
к	к	PR																						
театр	театру	S		муж	дат	ед							неод											
поспешно	поспешно	ADV																						
выскочить	выскочили	V	прош			мн	изъяв				сов			нп										
наташа	наташа	S		жен	им	ед							од		имя									
и	и	CONJ																						
соня	соня	S		жен	им	ед							од		имя									
подбирать	подбирая	V	непрош				деепр				несов			пе										
платье	платья	S		сред	вин	мн							неод											
выходить	вышел	V	прош	муж		ед	изъяв				сов			нп										
граф	граф	S		муж	им	ед							од											
поддерживать	поддерживаемый	V	непрош	муж	вин	ед	прич	полн			несов	страд	неод	пе										
лакей	лакеями	S		муж	твор	мн							од											
и	и	CONJ																						
между	между	PR																						
входить	входившими	V	прош		твор	мн	прич	полн			несов	действ		нп										
дама	дамами	S		жен	твор	мн							од											
и	и	CONJ																						
мужчина	мужчинами	S		муж	твор	мн							од											
и	и	CONJ																						
продавать	продающими	V	непрош		твор	мн	прич	полн			несов	действ		пе										
афиша	афиши	S		жен	вин	мн							неод											
весь	все	APRO			им	мн																		
трое	трое	NUM			им																			
пойти	пошли	V	прош			мн	изъяв				сов			нп										
в	в	PR																						
коридор	коридор	S		муж	вин	ед							неод											
бенуар	бенуара	S		муж	род	ед							неод											
притворять	притворенных	V	прош		пр	мн	прич	полн			сов	страд		пе										
дверь	дверей	S		жен	род	мн							неод											
уже	уже	ADV																						
слышаться	слышались	V	прош			мн	изъяв				несов			нп										
звук	звуки	S		муж	вин	мн							неод											
музыка	музыки	S		жен	вин	мн							неод											
прошептать	прошептала	V	прош	жен		ед	изъяв				сов			пе										
соня	соня	S		жен	им	ед							од		имя									
капельдинер	капельдинер	S		муж	им	ед							од											
учтивый	учтиво	A		сред		ед		кр																
и	и	CONJ																						
поспешно	поспешно	ADV																						
бок	боком	S		муж	твор	ед							неод											
проскальзывать	проскользнул	V	прош	муж		ед	изъяв				сов			нп										
перед	перед	PR																						
дама	дамами	S		жен	твор	мн							од											
и	и	CONJ																						
отворять	отворил	V	прош	муж		ед	изъяв				сов			пе										
дверь	дверь	S		жен	вин	ед							неод											
ложа	ложи	S		жен	вин	мн							неод											
музыка	музыка	S		жен	им	ед							неод											
ярко	ярче	ADV							срав															
становиться	стала	V	прош	жен		ед	изъяв				сов			нп										
слышный	слышна	A		жен		ед		кр																
в	в	PR																						
дверь	дверь	S		жен	вин	ед							неод											
блеснуть	блеснули	V	прош			мн	изъяв				сов			нп										
освещать	освещенные	V	прош		вин	мн	прич	полн			сов	страд	неод	пе										
ряд	ряды	S		муж	вин	мн							неод											
ложа	лож	S		жен	род	мн							неод											
с	с	PR																						
обнаженный	обнаженными	A			твор	мн		полн																
плечо	плечами	S		сред	твор	мн							неод											
и	и	CONJ																						
рука	руками	S		жен	твор	мн							неод											
дама	дам	S		жен	вин	мн							од											
и	и	CONJ																						
шуметь	шумящий	V	непрош	муж	вин	ед	прич	полн			несов	действ	неод	нп										
и	и	CONJ																						
блестящий	блестящий	A		муж	вин	ед		полн					неод											
мундир	мундирами	S		муж	твор	мн							неод											
партер	партер	S		муж	вин	ед							неод											
дама	дама	S		жен	им	ед							од											
входить	входившая	V	прош	жен	им	ед	прич	полн			несов	действ		нп										
в	в	PR																						
соседний	соседний	A		муж	вин	ед		полн					неод											
бенуар	бенуар	S		муж	вин	ед							неод											
оглядывать	оглянула	V	прош	жен		ед	изъяв				сов													
наташа	наташу	S		жен	вин	ед							од		имя									
женский	женским	A			дат	мн		полн																
завистливый	завистливым	A			дат	мн		полн																
взгляд	взглядом	S		муж	твор	ед							неод											
занавесь	занавесь	S		жен	вин	ед							неод											
еще	еще	ADV																						
не	не	PART																						
подниматься	поднималась	V	прош	жен		ед	изъяв				несов			нп										
и	и	CONJ																						
играть	играли	V	прош			мн	изъяв				несов			пе										
увертюра	увертюру	S		жен	вин	ед							неод											
наташа	наташа	S		жен	им	ед							од		имя									
оправлять	оправляя	V	непрош				деепр				несов			пе										
платье	платье	S		сред	пр	ед							неод											
проходить	прошла	V	прош	жен		ед	изъяв				сов			нп										
вместе	вместе	ADV																						
с	с	PR																						
соня	соней	S		жен	твор	ед							од		имя									
и	и	CONJ																						
садиться	села	V	прош	жен		ед	изъяв				сов			нп										
оглядывать	оглядывая	V	непрош				деепр				несов			пе										
освещать	освещенные	V	прош		вин	мн	прич	полн			сов	страд	неод	пе										
ряд	ряды	S		муж	вин	мн							неод											
противуположный	противуположных	A			пр	мн		полн																
ложа	лож	S		жен	род	мн							неод											
давно	давно	ADV																						
не	не	PART																						
испытывать	испытанное	V	прош	сред	вин	ед	прич	полн			сов	страд		пе										
она	ею	SPRO		жен	твор	ед				3-л														
ощущение	ощущение	S		сред	вин	ед							неод											
то	того	SPRO		сред	род	ед							неод											
что	что	CONJ																						
сотня	сотни	S		жен	вин	мн							неод											
глаз	глаз	S		муж	вин	ед							неод											
смотреть	смотрят	V	непрош			мн	изъяв			3-л	несов			пе										
на	на	PR																						
ее	ее	APRO			пр	мн																		
обнаженный	обнаженные	A			вин	мн		полн					неод											
рука	руки	S		жен	вин	мн							неод											
и	и	CONJ																						
шея	шею	S		жен	вин	ед							неод											
вдруг	вдруг	ADV																						
и	и	CONJ																						
приятно	приятно	ADV																						
и	и	CONJ																						
неприятно	неприятно	ADV																						
охватывать	охватило	V	прош	сред		ед	изъяв				сов			пе										
она	ее	SPRO		жен	вин	ед				3-л														
вызывать	вызывая	V	непрош				деепр				несов			пе										
целый	целый	A		муж	вин	ед		полн					неод											
рой	рой	S		муж	вин	ед							неод											
соответствующий	соответствующих	A			пр	мн		полн																
этот	этому	APRO		муж	дат	ед																		
ощущение	ощущению	S		сред	дат	ед							неод											
воспоминание	воспоминаний	S		сред	род	мн							неод											
желание	желаний	S		сред	род	мн							неод											
и	и	CONJ																						
волнение	волнений	S		сред	род	мн							неод											
два	две	NUM		жен	им																			
замечательно	замечательно	ADV																						
хорошенький	хорошенькие	A			вин	мн		полн					неод											
девушка	девушки	S		жен	род	ед							од											
наташа	наташа	S		жен	им	ед							од		имя									
и	и	CONJ																						
соня	соня	S		жен	им	ед							од		имя									
с	с	PR																						
граф	графом	S		муж	твор	ед							од											
илья	ильей	S		муж	вин	мн							од		имя									
андреич	андреичем	S		муж	твор	ед							од			отч						разг		
который	которого	APRO		муж	вин	ед							од											
давно	давно	ADV																						
не	не	PART																						
видно	видно	ADV																						
быть	было	V	прош	сред		ед	изъяв				несов			нп										
в	в	PR																						
москва	москве	S		жен	пр	ед							неод						гео					
обращать	обратили	V	прош			мн	изъяв				сов			пе										
на	на	PR																						
себя	себя	SPRO			вин																			
общий	общее	A		сред	вин	ед		полн																
внимание	внимание	S		сред	вин	ед							неод											
кроме	кроме	PR																						
то	того	SPRO		сред	род	ед							неод											
все	все	SPRO			вин	мн																		
знать	знали	V	прош			мн	изъяв				несов			пе										
смутно	смутно	ADV																						
про	про	PR																						
сговор	сговор	S		муж	вин	ед							неод											
наташа	наташи	S		жен	род	ед							од		имя									
с	с	PR																						
князь	князем	S		муж	твор	ед							од											
андрей	андреем	S		муж	твор	ед							од		имя									
знать	знали	V	прош			мн	изъяв				несов			пе										
что	что	CONJ																						
с	с	PR																						
тот	тех	APRO			пр	мн																		
пора	пор	S		жен	род	мн							неод											
ростов	ростовы	S		муж	им	мн							од				фам							
жить	жили	V	прош			мн	изъяв				несов			нп										
в	в	PR																						
деревня	деревне	S		жен	пр	ед							неод											
и	и	CONJ																						
с	с	PR																						
любопытство	любопытством	S		сред	твор	ед							неод											
смотреть	смотрели	V	прош			мн	изъяв				несов			пе										
на	на	PR																						
невеста	невесту	S		жен	вин	ед							од											
один	одного	APRO		муж	вин	ед							од											
из	из	PR																						
хороший	лучших	A			пр	мн		полн	прев															
жених	женихов	S		муж	вин	мн							од											
россия	россии	S		жен	пр	ед							неод						гео					
наташа	наташа	S		жен	им	ед							од		имя									
похорошеть	похорошела	V	прош	жен		ед	изъяв				сов			нп										
в	в	PR																						
деревня	деревне	S		жен	пр	ед							неод											
как	как	CONJ																						
все	все	SPRO			вин	мн																		
она	ей	SPRO		жен	дат	ед				3-л														
говорить	говорили	V	прош			мн	изъяв				несов			пе										
а	а	CONJ																						
в	в	PR																						
этот	этот	APRO		муж	вин	ед							неод											
вечер	вечер	S		муж	вин	ед							неод											
благодаря	благодаря	PR																						
свой	своему	APRO		муж	дат	ед																		
взволнованный	взволнованному	A		муж	дат	ед		полн																
состояние	состоянию	S		сред	дат	ед							неод											
быть	была	V	прош	жен		ед	изъяв				несов			нп										
особенно	особенно	ADV																						
хороший	хороша	A		жен		ед		кр																
она	она	SPRO		жен	им	ед				3-л														
поражать	поражала	V	прош	жен		ед	изъяв				несов			пе										
полнота	полнотой	S		жен	твор	ед							неод											
жизнь	жизни	S		жен	пр	ед							неод											
и	и	CONJ																						
красота	красоты	S		жен	вин	мн							неод											
в	в	PR																						
соединение	соединении	S		сред	пр	ед							неод											
с	с	PR																						
равнодушие	равнодушием	S		сред	твор	ед							неод											
ко	ко	PR																						
весь	всему	APRO		муж	дат	ед																		
окружающее	окружающему	S		сред	дат	ед							неод											
ее	ее	APRO			пр	мн																		
черный	черные	A			вин	мн		полн					неод											
глаз	глаза	S		муж	вин	мн							неод											
смотреть	смотрели	V	прош			мн	изъяв				несов			пе										
на	на	PR																						
толпа	толпу	S		жен	вин	ед							неод											
никто	никого	SPRO		муж	вин	ед							од											
не	не	PART																						
отыскивать	отыскивая	V	непрош				деепр				несов			пе										
а	а	CONJ																						
тонкий	тонкая	A		жен	им	ед		полн																
обнажать	обнаженная	V	прош	жен	им	ед	прич	полн			сов	страд		пе										
выше	выше	ADV																						
локоть	локтя	S		муж	род	ед							неод											
рука	рука	S		жен	им	ед							неод											
облокачивать	облокоченная	V	прош	жен	им	ед	прич	полн			сов	страд		пе										
на	на	PR																						
бархатный	бархатную	A		жен	вин	ед		полн																
рампа	рампу	S		жен	вин	ед							неод											
очевидно	очевидно	ADV																						
бессознательно	бессознательно	ADV																						
в	в	PR																						
такт	такт	S		муж	вин	ед							неод											
увертюра	увертюры	S		жен	вин	мн							неод											
сжиматься	сжималась	V	прош	жен		ед	изъяв				несов			нп										
и	и	CONJ																						
разжиматься	разжималась	V	прош	жен		ед	изъяв				несов			нп										
комкать	комкая	V	непрош				деепр				несов			пе										
афиша	афишу	S		жен	вин	ед							неод											
посмотреть	посмотри	V				ед	пов			2-л	сов			пе										
вот	вот	PART																						
аленин	аленина	S		муж	вин	ед							од				фам							
говорить	говорила	V	прош	жен		ед	изъяв				несов			пе										
соня	соня	S		жен	им	ед							од		имя									
с	с	PR																						
мать	матерью	S		жен	твор	ед							од											
кажется	кажется	ADV																вводн						
батюшка	батюшки	S		муж	род	ед							од											
михаил	михаил	S		муж	им	ед							од		имя									
кирилович	кирилыч	S		муж	им	ед							од			отч						разг		
то	то	PART																						
еще	еще	ADV																						
